comments,labels
eda rithwik nine njan theriparjilaloo ennitt ninte samkkaram kanichuvale f fff .valarthu dhosham nint ppp,Offensive_Untargetede
Paatu kandappo inganonnum aayirunallallo parannjathu,Not_offensive
MAMANGAM GETTING EXCELLENT REPORTS FROM AUDIANCE AND FAMILY,not-malayalam
Asianet il innu porinju kanan irunnatha. Odukatha oru idi vettu...tv off cheyendi vannu,Not_offensive
Trending Trending Trending.........  Mamangam goes on viral,not-malayalam
തിയേറ്റർ വിജയം എങ്ങനെയാണെന്ന് അറിയില്ല. കാരണം നല്ല സിനിമകൾ തിയേറ്ററിൽ പരാജയപ്പെടുത്തി പിന്നീട് ഫോണിൽ കണ്ട് ക്ലാസിക് സിനിമ അളിയാ എന്ന് പറയുന്ന മലയാളികളാണ് ഇന്ന് കൂടുതൽ.All the best moothon.hope it would run successfuly in theatres.Nivin's career changing movie it seems.nivin is about to set the bar high.let the compatition begin.,Not_offensive
Heyyy Super pa....  Meratuthu,not-malayalam
ആദ്യ കാഴ്ച്ചയിൽ  ഇത്‌ എന്തുവാടെ സിനിമ ? രണ്ടാം കാഴ്ച്ചയിൽ കൊള്ളാം എന്നൊരു അഭിപ്രായം വരും ! പിന്നെ പടം കേറി കൊളുത്തും  ( എബ്രിഡ് ഷൈൻ മൂവീസ് ),Not_offensive
Trailer Releasinu munne 6k dislike itta ella punnara malarukalkum nadu viral namaskaram.... Chettakale,Offensive_Untargetede
penned by my best buddies  Jebandii and sharissikka .....blast karoo :),not-malayalam
Padam moonjalaanelum ippp trailer kandaalum romaanjam,Not_offensive
Raja is back,not-malayalam
He he  മാസ്സ് മരണ മാസ്സ് thriller loading🤩,Not_offensive
I im tamil nadu i love nivin pouly,not-malayalam
Katta ikka fans adik like evide,Not_offensive
open for online job for students,not-malayalam
ഇത് പൊളിക്കും മക്കളെ... അടിപൊളി മൂവി ആയിരിക്കും എല്ലാരുംകാണാനെ,Not_offensive
Made in kerela,not-malayalam
ഇല്ലാ.. ഞങ്ങടെ ആന്റണി ചേട്ടൻ പറയാതെ ഞങ്ങൾ ഇതു  വിശ്വസിക്കില്ലാ.. പൂജപ്പുര കാവിലമ്മ ആണേൽ ഷത്യം...,Not_offensive
Adaar Love Malayalam Full Movie,not-malayalam
Ee videokk sheesham tovino fan aya arokke und🤚🤚,Not_offensive
Ohhhh masss ikka  ikka fans like,not-malayalam
iyalith verthe parayuvaan puthumukha samvidhayakan aanenn,Not_offensive
I'm from Karnataka can't understand Malayalam but trailer was amazing,not-malayalam
Ithinte script writer.eee... Aarenkilum idakku orukkuka...,Not_offensive
Itinum dislike adikkan aalundallo...nallatine angeegarikkan padikk... duranthangal...,Offensive_Untargetede
ടാ....തല്ല് കിട്ടിയാ ആണുങ്ങളെപ്പോലെ നേർക്കുനേരെ തല്ലി തീർക്കണം ... അതാ തൃശൂരിലെ ഒരു രീതി ....,Not_offensive
Ithe kandirikkum enn ullvar like itte pokko 🤨,Not_offensive
Nalla assal moonjjal thank you lola,Offensive_Untargetede
19k views & 134K likesum 🤔 Ente mobile mattan time ayi..,Not_offensive
Padam pottum ennu urapulavarku evide like adikam,Not_offensive
Al veruppikkal Mammotty ude vere oru adipoli veruppikkal padamayirikku ith,Offensive_Targeted_Insult_Individual
മലയാളികള്‍ക്ക് ത്രില്ലർ പറ്റില്ല എന്ന് പറയുന്നവര്‍കൈ  അഞ്ചാം പാതിരാ,Not_offensive
Soooperb... Trailer... Nyla Usha look like nadiya moidu...,not-malayalam
Pazhassi raja poloru padam pratheekshikkunnu. From unni-ikka combo,Not_offensive
Dislike adikunavanmaruda oru thandakku vili varavu vechakke,Offensive_Untargetede
Supr hit avumo?...enkil adiku macha like here,Not_offensive
I can't understand Malayalam,not-malayalam
ഓ എന്താണ് ഇപ്പോൾ പറയുക ഒന്നും പറയാനില്ല പൊളി എന്ന് വെച്ചാൽ തകർത്തു,Not_offensive
Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre,Offensive_Targeted_Insult_Individual
ಕನ್ನಡದಲ್ಲಿ ದಯವಿಟ್ಟು Dub ಮಾಡಿ.. ಮೋಹನ್ ಲಾಲ್ ಅಭಿಮಾನಿ from Karnataka... Mohan lal fan..  Best wishes to Lucifer team..,not-malayalam
ഇതിന്റെ  ഷൂട്ടിങ്  ഞാൻ കണ്ടതാ.. കോട്ടയത്തു,Not_offensive
Whish you happy birthday mammookka. .,not-malayalam
Assassins creed game um undo cinema ill,Not_offensive
0.39 thalaivar rajnikanth dialogue in pettamamooka,not-malayalam
Marana maaasssseyyyyy mammokaaaaaa ....tamil fans love always there for u man,Not_offensive
Ninta channel inu idanta peru goodwill ennalla devilwill enna..patti thayoli pundachi mone,Offensive_Targeted_Insult_Individual
നിവിൻ പോളി ഫാൻസ് ഉണ്ടോ ഇവിടെ ഉണ്ടേൽ ലൈക് അടി,Not_offensive
Hit like yash bosss fannsss form kgf,not-malayalam
കർത്താവേ ഇത് എന്തോന്നടെ... പൊളി ആണല്ലോ. മലയാളം പടം now വേറെ ലെവൽ,Not_offensive
Mara paazhu mega mairananil ninnum ethil koodutal pratheeshikaruthu   1980 kalile rajanikanthinu padikkunnu verum chavaru mairan....,Offensive_Targeted_Insult_Individual
കിടിലൻ പടം ആണ് ട്ടോ.... അല്ലേലും ഹൈപ്പ് ഇല്ലാതെ ഇറങ്ങുന്ന movies ആണ് ഇപ്പോൾ നമ്മളെ impress ചെയ്യുന്നത്.,Not_offensive
Mohanlal sir getup Viswasam Ajith sir getup,not-malayalam
നിങ്ങളുടെ വീട്ടിൽ ചെറിയ ഡിഷ് ആന്റിന ഉണ്ടെങ്കിൽ നേടൂ 150 ചാനലുകൾ സൗജന്യം ആയി ഒരു രൂപ മാസ വാടക ഇല്ലാതെ.കൂടുതൽ വിവരങ്ങൾക്ക് ഇൗ ചാനൽ subscribe ചെയ്തോളൂ. #KERALADTHINFO,Not_offensive
Yaen da kandaara voli' hala.....neengalaey 1st trending'nu potu viduveengala....patti koodharai hala....Trending 2 da,not-malayalam
Looks like netflix series oru film aayi coloring Mach aavunnilla,Not_offensive
Poliiii super luv it.  ......,not-malayalam
Tovinoye kollan aanu manju parayunnath ennu thonnunnu,Not_offensive
Lalettante face kandittu sankadam maatram ennalum ente stree kumara menone naari,Offensive_Targeted_Insult_Individual
Sambhavam kalaki secen ok mass anne,Not_offensive
Love  From SriLanka  Anyone SriLankans hit like,not-malayalam
Pwolli item Mammukka Bgm Uff No words Katta waiting,Not_offensive
ഗുഹൻ ഫാൻസ്‌ ഡിസ്‌ലൈക്ക് അടിച്ചു തകർക്കുവാണല്ലോ,Offensive_Targeted_Insult_Group
ഇത് thugs of hindustan സിനിമയിലെ സീനുകൾ ആണ്,Not_offensive
THIS IS GOING TO BE AN EPIC MOVIE FOR SURE,not-malayalam
Best pubg game play malayalam,not-malayalam
Any Tamil person after seeing title?,not-malayalam
അത് സത്യം,Not_offensive
Prithviraj sukumaran  fans come here,not-malayalam
Theatarukalil chiripooram theerkaan laalettante ittimaani varunu oru pakka entertainment movie aanenu urapullavar like,Not_offensive
Once a king is always a king,not-malayalam
Padam nannavuum ennu thanne expect cheyyunnu,Not_offensive
aa dislike  mikkathum  mohan lal fans aayirikkum,Offensive_Targeted_Insult_Group
കിടിലൻ....നിവിൻ പോളി നിങ്ങൾ നല്ല ഒരു നടൻ ആയിരിക്കുന്നു,Not_offensive
8.5k dislikers are bahubali people . From Hyderabad Telangana,not-malayalam
Padam adipoli  family ayi kananam,Not_offensive
Good luck from Manoj fans,not-malayalam
i cant wait i cant wait !,not-malayalam
Just 30 minutes 150 k viewers raja ezayalattupollumilla,Not_offensive
മോഡിയുടെ ചെപ്പ കുറ്റി അടിച്ചു പരത്താൻ ആരെങ്കിലും ഉണ്ടോ?,Offensive_Targeted_Insult_Individual
Chembu sajin fans dislike adikan thudangiyallo,Offensive_Targeted_Insult_Group
താന്തോന്നിക്ക് ശേഷം വീണ്ടും പ്രിത്വിരാജ് and സുരാജേട്ടൻ കോംബോ.  Katta waiting.....  Fdfs locked.,Not_offensive
Muttamariyans Mammunni Myra raja team omkv,Offensive_Untargetede
Kandittum kandittum mathiyavanilladoooo.... Endutta mothal ithu....  Devil rules  Stephen nedumballi rules  Ettan rulesssss 🤩,Not_offensive
Mammotty sir fan from srilanka,not-malayalam
10M adikkum ennullavar aadhyam like onn adiche,Not_offensive
Mammunniyepole oliporallithu Eathu yudham vannalum munpilundavum laettan ....dialogue delivery pirannu...ee parayunna neeyokke pedukkum padam irangiyal,Offensive_Targeted_Insult_Individual
ഇതിന്റെ ഡയറക്ട്ടർ അജയ് വാസുദേവ് തന്നെ ആണോ?,Not_offensive
HBD SRK🥰 Wish you a happy birthday,not-malayalam
Prithvi Fans from karnataka hit like.,not-malayalam
ഷമ്മി Hero  ആടാ hero..................... ഷമ്മി പൊളിച്ചു മോനെ  ഷമ്മി ഫാൻസ് ഉണ്ടോ ഇവിടെ,Not_offensive
2M views and 200k likes loading,not-malayalam
Njan ഇക്ക fan aanu,Not_offensive
Anurag Kashyap ji  ko thanks bholna,not-malayalam
God marichu ene paranjit ole part karinje oru k.g.f feel thonni,Not_offensive
Tharikida sabu ah poorimone kondu varendayirunnu,Offensive_Targeted_Insult_Individual
tovi mwthinte mass kannnan vannavar undo....,Not_offensive
I love Mammookka.  Love from Telangana.,not-malayalam
Wow... Ippazhannu kalli polliyannennu manassiyl aye,Not_offensive
Pakka poli Nigal entha manasilakiknath keraliyar k buthiyillalae thani thedrit pakka fillm Thani poli film,not-malayalam
Katta waiting..anna ye kaanan kothiyakunnu kumbalangy nights pwoli love you...,Not_offensive
I am Tamil nadu Manju mam big fan of u,not-malayalam
enthokeyo evdakayo oru thakarar pole... ennalum kolaam...,Not_offensive
Mammukka,not-malayalam
Petrol vila karanam raja cycilil. polichu!!!!!,Not_offensive
Malayalam leady super star......athuku ungalluku thaguthiyea illea,not-malayalam
Joseph  orma vannavar ivida vaa...,Not_offensive
1 year of Odiyan Trailer,not-malayalam
Loosu pundamavanuga namma urulaium edukuranugale padam loosu pu conceptla,not-malayalam
1:07 ഈ ചിരിക്ക് കിട്ടും 100 കോടി,Not_offensive
I saw rajuettan at 1.33 min,not-malayalam
BOSS WAITING FOR HIS LITTLE BROTHER.. Come on baby ho yaa..   Ikkaaaa....,not-malayalam
Mass... Maranamass.... Kolamass...... കട്ട waiting,Not_offensive
All india  level movie,not-malayalam
Soorry Lalletta ithu മമ്മുക്ക ചെയ്യട്ടെ...  നല്ല ബോർ സൗണ്ട് ആണ് നിങ്ങളുടെ,Not_offensive
2.7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram,Offensive_Untargetede
mammookkaye ee traileril kandu njettattavar aarum undavilla !,Not_offensive
It is like Shahrukh Khan film FAN,not-malayalam
Abrid ഷൈൻ എന്ന പേരിലാണ് പ്രതീക്ഷ മുഴുവൻ...,Not_offensive
I am a big MOHANLAL fanss,not-malayalam
13k dislike kodutha yethu mire** adaaa,Offensive_Untargetede
Padam kandu...Average movie...Pokkiri raja far better than Madhura raja....Mammukka and salim kumar kidukki,Not_offensive
എന്തൂട്ട് പഴം പുഴുങ്ങിയ ശബ്‍ദം... കോപ്പ്   പറയുന്ന ആൾക്ക് തന്നെ ഉശിരില്ലേ...,Offensive_Targeted_Insult_Individual
Stephene kaanan nale aarokke varunnundee,Not_offensive
44k likes and 615 dislikes wow unbelievable !!!!!!!!,not-malayalam
It is like Shahrukh Khan film FAN,not-malayalam
Best wishes megastar..from Shivarajkumar fans  Karnataka,Not_offensive
dislike just because its not in hindi ;p,not-malayalam
മാറ്റം.... വലിയ നേട്ടം .. മലയാളസിനിമയിൽ വരുന്ന ഇൗ മാറ്റത്തിന് ഇരിക്കട്ടെ ഒരു കുതിര പവൻ,Not_offensive
I'm from karnataka yash boss fan  Waiting for movie in karnataka,not-malayalam
De eee padam lalettan fans hit aakkum ithu poliya,Not_offensive
Mohanlal looks like as he was in jilla....,not-malayalam
രാക്ഷസനെ  ഓർമ വന്നത് എനിക്ക് മാത്രം ആണോ,Not_offensive
Laletta ...... !!   Love You.... !,not-malayalam
Dislike adichavanmar enth kandittanavo......ee trailer thanne aano aavo kandath....,Not_offensive
irangunne munne dislike adikkunna thanthakku munne undaaya makkalku midile Finger,Offensive_Untargetede
Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum  Ivanu ore oru pereyyllu.....raja,Not_offensive
All d best from d BOSS darshan fans from karnataka,not-malayalam
കൊള്ളാം.. കിടു.. പൈറേറ്റ്സ് ഓഫ് കരീബിയൻ.. സീരീസ്.. മുഴുമന് ഞമ്മള്.. കണ്ടിട്ടുണ്ട്.. മറക്കാരേ..,Not_offensive
I am Fan from Andhra Pradesh,not-malayalam
2010 annum 2019 eenu raja super   aanu,Not_offensive
ഡയറക്ടർ സിദ്ധീക്ക് മമ്മൂട്ടിക്ക് മാത്രമേ നല്ല ചിത്രം ചെയ്തു കൊടുക്കുള്ളു ... ലാലേട്ടനെ താറടിക്കണം അത്രേയുള്ളൂ ആ നാറിക്ക് .... വെറുതെ അല്ല ഈ ഫിലിം ആന്റണി പെരുമ്പാവൂർ പ്രൊഡ്യൂസ് ചെയ്യാതിരുന്നത് ..... ലാലേട്ടൻ കാര്യങ്ങൾ മനസിലാക്കണം ....,Offensive_Targeted_Insult_Individual
Inganoru adaar trailer kanditt dislike adikkan aarkka thonnukaa...even the haters cannot...ikka superb🤩,Not_offensive
Trailer kandal ariyam nalla oombiya padam aanunn,Offensive_Targeted_Insult_Group
petta ile dialogue ithil ittath sheriyaayo?,Not_offensive
Teasr erangunnathinn munne 7 dislike ethe myranmar anenn ariyunnavar like cheyyu,Offensive_Untargetede
I think,Not_offensive
Waitingg  2 days to go,not-malayalam
പാട്ടിന്റെ ആ ലെവൽ പടം മൊത്തം കീപ്‌ ചെയ്യാൻ പറ്റിയാൽ ഒന്നും നോക്കണ്ട..... ഫാമിലിക് തിയേറ്റർ വരെ വരേണ്ടി വരും *ഇട്ടിമാണി* sept6,Not_offensive
എത്ര തച്ചോളികൾ ചിലച്ചാലും കൊല കൊള്ളി ആണ് ഇത്,Offensive_Targeted_Insult_Group
ഇന്റെ ലാലേട്ടാ ഇങ്ങടെ ഈ മുച്ച്ലിം ചംബാച്ചണം മാറൂല്ലാ. എന്നാ ഇങ്ങക്ക് ഈന്നൊരു മോചനം കി്ട്ട്വാ.   ഇനി വെള്ളമടിയ്ക്കുന്ന മരക്കാരുകാക്കനേം കാണേണ്ടി വരുമോ പ്രിയൻ സാർ.  ഇതു പോലൊരു മുസ്ലിം ഭാഷ എവിടെയെങ്കിലും നിലവിൽ ഉണ്ടായിരുന്നോ.,Not_offensive
Mammooka fan - kannadiga from Dubai,not-malayalam
2020 ile psycho thriller Rakshasa minnichekane🤩,Not_offensive
കൊല ഗാൺട്ലേ ഇറുക്ക്       കൊല്ലാമ വിടമാട്ടേ,not-malayalam
Super mega hit aaayirikkum  mark,Not_offensive
Laleta you are a sensation and pritvi cheta you are a genius,not-malayalam
Njangalude muthanu  ingalu laletta..... Lub u Etta......,Not_offensive
Lalttan die hard fans hit like,not-malayalam
athenda mech kaark maathre meesha pirikku?,Not_offensive
Pala padathilum kanda scenugal kooti kuzhucha padam athine kidu mass ennoke parayaan kure andam kammi fansugalum,Offensive_Targeted_Insult_Group
Aarkokke ee cinemayil Idivettu Sugunan'e kanan agraham Indo evade like adikku.🤣🤣,Not_offensive
FOR A NEW GENERATION DICTIONARY VERSATILITY HAS A NEW DEFINITION.,not-malayalam
ചെമ്പൻ വിനോദ് ഏട്ടൻ ഒരു രക്ഷയും ഇല്ല... ഇഷ്ട്ടപ്പെട്ടവർ അടി like.... അങ്ങേര് മരണ മാസ് ആണ്...,Not_offensive
I am from karikkottakkari... But iam a big fan of mammoookkaa,not-malayalam
Aaro oraal alla ente ettan.My big brother,Not_offensive
all the best laletta and rajuvetta..from ALLUARJUN FANS,not-malayalam
Odiyan fans like here.100 CR collectn kitumnu orapullavar like,Not_offensive
...emmathiri kanjavu cinimayiralkan geethuvine kone. Pattu,Offensive_Targeted_Insult_Individual
ഒരു പ്രതീക്ഷയും ഇല്ല   ഓടിയാൽ ഓടി അത്രേ ഉള്ളു,Not_offensive
aa dislike  mikkathum  mohan lal fans aayirikkum,Offensive_Targeted_Insult_Group
1.49 bgm started... Bgm nu vendi wait chythu irikkunavar like adikk,Not_offensive
Trailor vannapol unlike adikunna kure pooranmar  poi chathoode kunnakale,Offensive_Untargetede
ഇട്ടി മാണിക്ക്  എല്ലാ വിധ ആശംസകളും നേരുന്നു ലാൽ ഭക്തന്‍,Not_offensive
odiyan thulapichu myran V A Sree kumar kopan poda,Offensive_Targeted_Insult_Individual
Sunny chechi ye Kanan vanahvar like adi,Not_offensive
Mass mohanlal...i'm from Tamil nadu madurai,not-malayalam
Muriyandi mammunniyude sudappi fansinaanu kuru vallathe pottunnath..,Offensive_Targeted_Insult_Individual
4 lakh views in just 11hrs...! Awesome,not-malayalam
Aganee youtubeinte karyathil oruu tirumanam ayyi,Not_offensive
Prithviraj Fans = Like Suraj Fans = Comment,not-malayalam
Please watch 'Perempuan Tanah Jahanam' trailer!,not-malayalam
Madhuraraaja trailer kandu evide vannavar like🥰🥰🥰🥰,Not_offensive
Yedaa Mamooty poora,Offensive_Targeted_Insult_Individual
U Royal mech   polikittaaaa,Not_offensive
USA Okkk .. India Noooo ...,not-malayalam
നിനക്ക് മാത്രം എന്താടാ എന്നോടിത്ര ചൊറിച്ചില്,Not_offensive
Come on india lets make it 8 million....,not-malayalam
Lalletan fans ellarum like adich power kanikke,Not_offensive
Shain Nigam sometimes look like old time lalettan,not-malayalam
Ente ponnuu dileepetta trailer polichu ikkayude aniyanu dileepettanu vijayashamsakal nerunnu dileepettan peruthishtam ikka uyir,Not_offensive
adi poli i am a mechanical engineer,not-malayalam
Bst wishes nd hpy bdy ikkaa,not-malayalam
ജോഷി എന്ന പേര് കണ്ടപ്പോൾ രോമാഞ്ചം അടിച്ചവർ ഉണ്ടോ,Not_offensive
LALETTAN IS THE KING OF MALAYALAM MOVIES......,not-malayalam
Mohanlal or Rajnikanth ? Mohanlal - Like Rajinikanth - Comment,not-malayalam
Trailer lagging anenkilum padam vijayikkumennu vicharikkunnu  All the very best,Not_offensive
Pauly Chaettayiii u r gonnaa roockkk,not-malayalam
Polikktte ലാലേട്ടനും പിള്ളരും... Thalaivar ഫാൻസിന്റെ എല്ലാ വിധ ആശംസകളും...,Not_offensive
chutiya kam banaya karo ...yhe TOH ka trailer hai,not-malayalam
Mohanlaline onnum parennilla,Not_offensive
Make a way for 200k likes,not-malayalam
ആരോ ഒരാൾ അല്ല...  എന്റെ ഏട്ടൻ,Not_offensive
Ijjathi kuru trailer releaseinu mumbe ikka fans dislike adikan thudangiyo,Offensive_Targeted_Insult_Group
Trailer mass marana mass... Ini screen il... Padam kanan njnm undkum,Not_offensive
ooty ai karnataka udan inaika aarpatam,not-malayalam
ഇ ചെറുപ്പക്കാരൻ ഇത് എന്ത് ഭാവിചാണ്. കട്ട വെയിറ്റ് 🥰🥰🥰🥰,Not_offensive
0:40 indian flag ulta hai,not-malayalam
ഇഷ്ടമാണ്. But ചില സിനിമയിൽ over actigalle എന്ന് തോന്നും..,Not_offensive
Waiting... waiting... waiting... waiting.... waiting.... waiting... waiting... waiting...,not-malayalam
Sharukh khan fan movie pole undallo,Not_offensive
HISTORY OF PAIN    HISTORY OF HOPE    HISTORY OF AN ERA    HISTORY OF THE BRAVE,not-malayalam
Evideo oru Hollywood story varunnilleee. Oru DBT.,Not_offensive
രായപ്പൻ ഫാൻസ് ഉണ്ടോ? അഹങ്കാരം തലക്ക് പിടിച്ചവനല്ലേ ഇവൻ. ചെമ്പോർകിനി,Offensive_Targeted_Insult_Individual
ഈ ചിരി ഒന്നൊന്നര കൊലച്ചിരിയാണ്...... ഷൈലോക്ക്,Not_offensive
من متى أعرفك اصلا حتى انساك,not-malayalam
Pls manju chechi ente agrahamanu chechiye onnu kananamenn nadakillannariyam enkilum agrahikkalo,Not_offensive
Lalettan is superb.......Love from Sri Lanka.,not-malayalam
Otta vakkil paranjal vismayam mammookka ningal oru idhihasa taram tanne ennu veendum teliyikkunnu,Not_offensive
Captain kunjali sparrow,not-malayalam
Pottum  bengaali look  IDGAF mon,Offensive_Untargetede
ആർക്കും വേല ചെയ്യാൻ പറ്റാത്ത കാലം അടുത്ത് വരുകയാണ്,Not_offensive
All D best from challenging star D boss kannadiga,not-malayalam
Ee Padam odiyan Kandu niraasaeaya fansinte thallal aanennum Lalettante class movikalude ezhu ayalthu varilla ennum karurhunnavar like pls.,Not_offensive
ಕನ್ನಡದಲ್ಲಿ ದಯವಿಟ್ಟು Dub ಮಾಡಿ.. ಮೋಹನ್ ಲಾಲ್ ಅಭಿಮಾನಿ from Karnataka... Mohan lal fan..  Best wishes to Lucifer team..,not-malayalam
ആരോ ഒരാളല്ല,Not_offensive
Dulquer Fans ~ Comment  Prithviraj Fans ~ Like,not-malayalam
നല്ല വിജയം ആകട്ടെ എന്ന് പ്രാർഥിക്കുന്നു,Not_offensive
Khalid rahman... we r katta waiting here .....,not-malayalam
King is oll ways king 🤙  ഏട്ടൻ ഇഷ്ട്ടം,Not_offensive
Trailer kandale ariyam lalapande adutha padakam....,Offensive_Targeted_Insult_Individual
ഉടൻ വരും,Not_offensive
Iyakku Vera pani onnum ille !,Offensive_Targeted_Insult_Individual
മഞ്ജു ചേച്ചി ഇസ്സ്തം ...  കോവാലൻ കസ്സ്തം ...,Offensive_Targeted_Insult_Individual
Trailor kandaal thanne ariyaam padam thamarthum,Not_offensive
Yyiooooooo...... No words   666   loading 🤺,not-malayalam
വേഷപ്പകർച്ച നടത്താൻ ഇത്രയും കഴിവുള്ള നടൻ ഈ ലോകത്തില്ല... ശെരിക്കും complete actor ഇതാണ്... ചെയ്യുന്നതൊക്കെ different look.....,Not_offensive
TRAILER KIDU,not-malayalam
Nalla kidilan trailer. nalla oru family entertainer aanenu thonnunu,Not_offensive
മഞ്ജു ചേച്ചി ഇസ്സ്തം ...  കോവാലൻ കസ്സ്തം ...,Offensive_Targeted_Insult_Individual
സത്യം പറയാലോ ..ഏട്ടന്റെ മുഖം  ആ ഒടിയൻ സിനിമയ്ക്കു  വേണ്ടി നശിപ്പിച്ചതിന് ശേഷം എന്തോ ഒരു കുഴപ്പം പോലെ ..താടിയില്ലെങ്കിൽ കാണുമ്പോ എന്തോ പോലെ ... അത് അഭിനയത്തിലും പ്രതിപാദിക്കുന്നു ..അത് വേഗം ശെരി ആകാൻ പ്രാർത്ഥിക്കാം :(,Not_offensive
No doubt it's gonna disaster,not-malayalam
Marakkar  movie waiting,not-malayalam
Mammukka cheyyendath lal cheydu atre ullu rasam,Not_offensive
Odiyan 2D Animated trailer,not-malayalam
Super mass ailla poli mass look,Not_offensive
It looks like a  fanmade.,not-malayalam
Namma chellanam Panchayat Anu    Neubour Panchayat kumbalangy,Not_offensive
ഗുഹ൯ ഫാ൯സ് ഡിസ്ലൈക് കാ൦പൈ൯ പൊടി പൊടിക്കുന്നുണ്ടല്ലോ,Offensive_Targeted_Insult_Group
ചില തിന്മയെ ജയിക്കാൻ ദേവൻ ആയാൽ പോര അതിന് അസുരൻ തന്നെ അവതരിക്കണം..,Not_offensive
ANY TAMILNADU NIVIN FANS ?? :D :D,not-malayalam
മൊത്തത്തിൽ ഒരു മാറ്റം ഇക്കാ #shylock  mammookka,Not_offensive
Ikka     waiting.........,not-malayalam
18/11/2019⃣     is anybody here,not-malayalam
REALLY SUPERB TRAILER...  AWAITING FOR THE MASS MANJU ENTRY  ALL THE VERY BEST  MANJU ചേച്ചി,not-malayalam
1:07 ikkade shareeram allanu pettennu manasilakum... Orumathiri piller edith cheitha pole,Not_offensive
Trailer kand kuru potti olich ippozhe degrading thodangi entha avastha ikka fans ichiri ulupp,Offensive_Targeted_Insult_Group
കാത്തിരുന്നോ ഒരു അങ്കത്തിനുള്ള പുറപ്പാടിലാ ഏട്ടനും പിള്ളേരും,Not_offensive
Jimittukal karanju chaakum athum tripple strongil,Offensive_Targeted_Insult_Group
Hammme poli lastathe aa scene kidu... Frames,Not_offensive
King Raja Fans want some Mutton Biriyani hahahaha,not-malayalam
ചാവേറിന്‍റെ ചുരിക തലപ്പില്‍ ആര്‍ത്തിരമ്പി  ഇനി അസുരാധിപതിയുടെ രംഗപ്രവേശം,Not_offensive
vivek ovaria ka carar barbad Kar diya salman khan ne i het salman,not-malayalam
North Paravur,Not_offensive
I am a biggest ikka fan,not-malayalam
കാസ്റ്റിൽ  2nd ഷറഫുദ്ദീന്റെ പേരാണ്... പക്ഷെ ട്രെയിലറിൽ കാണിക്കുന്നില്ല... അപ്പൊ പുള്ളി ആണോ സീരിയൽ കില്ലർ...🤔,Not_offensive
Onne poyeda mugath puttiyum adich oronne iragiyekum mega star,Offensive_Targeted_Insult_Individual
Poli ee movie oru charithram aaagum,Not_offensive
Ikka fansinte tholvi aashamsakal oru 369 like poratte jimittolikale,Offensive_Targeted_Insult_Group
*ഇതൊരു മലയാള സിനിമ തന്നെയാണോ  മലയാള സിനിമയുടെ Range തന്നെ മാറിയല്ലൊ .....*,Not_offensive
Hindi me b Diya kro trailer ko,not-malayalam
Verupikkal manju ullathu ozhichal baki ellam super,Offensive_Targeted_Insult_Individual
Mohanlal sir getup Viswasam Ajith sir getup,not-malayalam
LALETTAN fan Anu  ennalum  IKKA  NiNGAL  vere LEVEL,Not_offensive
